,index,TeamName,PointsPerGame_x,Score_x,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession_x,TurnoverDifferential,curYear,nextYear,PointsPerGame_y,RushingYards_x,RushingYardsPerAttempt_x,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked_x,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PointsPerGame_x,Score_y,PassingCompletions_x,PassingAttempts,CompletionPercentage,PassingYards_x,PassingYardsPerAttempt_x,PassingYardsPerCompletion,PassingTouchdowns_x,PassingInterceptions,FirstDownsByPassing_x,TimesSacked_y,TimesSackedYards,PasserRating,PointsPerGame_y,Score_x,RushingAttempts,RushingYards_y,RushingYardsPerAttempt_y,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession_y,PointsPerGame,Score_y,PassingCompletions_y,PassingYards_y,PassingYardsPerAttempt_y,PassingTouchdowns_y,FirstDownsByPassing_y,OpponentPointsPerGame_x,OpponentScore_x,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession_x,OpponentTurnoverDifferential,OpponentPointsPerGame_y,OpponentRushingYards_x,OpponentRushingYardsPerAttempt_x,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked_x,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentPointsPerGame_x,OpponentScore_y,OpponentPassingCompletions_x,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards_x,OpponentPassingYardsPerAttempt_x,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns_x,OpponentPassingInterceptions,OpponentFirstDownsByPassing_x,OpponentTimesSacked_y,OpponentTimesSackedYards,OpponentPasserRating,OpponentPointsPerGame_y,OpponentScore_x,OpponentRushingAttempts,OpponentRushingYards_y,OpponentRushingYardsPerAttempt_y,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession_y,OpponentPointsPerGame,OpponentScore_y,OpponentPassingCompletions_y,OpponentPassingYards_y,OpponentPassingYardsPerAttempt_y,OpponentPassingTouchdowns_y,OpponentFirstDownsByPassing_y
69,5,Cowboys,23.5,376,1049,5994,5.7,338,93,212,43.9,25,49,51.0,117,853,31:01,-13,2012,2013,23.5,1265,3.6,71,20.0,36,5.2,78,11.2,23.5,376,434,658,66.0,4729,7.2,10.9,29,19,237,36,undefined,90,23.5,376,355,1265,3.6,8,76,31:01,23.5,376,434,4729,7.2,29,237,25.0,400,986,5687,5.8,317,81,202,40.1,30,55,54.5,89,726,30:54,13,25.0,2003,4.5,59,13.4,34,6.2,70,12.8,25.0,400,320,511,62.6,3684,7.2,11.5,22,7,195,34,211,93,25.0,400,441,2003,4.5,17,92,30:54,25.0,400,320,3684,7.2,22,195
70,6,Texans,26.0,416,1090,5953,5.5,341,83,221,37.6,32,57,56.1,108,873,34:46,12,2012,2013,26.0,2123,4.2,85,16.7,28,4.8,72,12.4,26.0,416,354,554,63.9,3830,6.9,10.8,22,13,205,28,undefined,88,26.0,416,508,2123,4.2,19,114,34:46,26.0,416,354,3830,6.9,22,205,20.7,331,1015,5172,5.1,292,71,215,33.0,20,40,50.0,90,863,28:50,-12,20.7,1560,4.0,88,22.6,44,7.0,105,16.8,20.7,331,308,581,53.0,3612,6.2,11.7,29,15,167,44,269,78,20.7,331,390,1560,4.0,5,94,28:50,20.7,331,308,3612,6.2,29,167
71,7,Falcons,26.2,419,1021,5906,5.8,342,92,204,45.1,37,63,58.7,55,415,31:52,13,2012,2013,26.2,1397,3.7,69,18.3,28,4.4,84,13.1,26.2,419,422,615,68.6,4509,7.3,10.7,32,14,246,28,undefined,98,26.2,419,378,1397,3.7,12,70,31:52,26.2,419,422,4509,7.3,32,246,18.7,299,991,5849,5.9,298,81,200,40.5,19,42,45.2,83,641,29:08,-13,18.7,1971,4.8,70,17.0,29,5.0,63,10.9,18.7,299,337,551,61.2,3878,7.0,11.5,14,20,189,29,182,76,18.7,299,411,1971,4.8,16,99,29:08,18.7,299,337,3878,7.0,14,189
72,8,Buccaneers,24.3,389,1008,5820,5.8,301,76,212,35.8,28,47,59.6,101,819,30:19,3,2012,2013,24.3,1837,4.4,59,14.2,26,4.4,60,10.1,24.3,389,311,566,54.9,3983,7.0,12.8,27,17,188,26,undefined,81,24.3,389,416,1837,4.4,13,89,30:19,24.3,389,311,3983,7.0,27,188,24.6,394,1031,6078,5.9,329,88,219,40.2,30,54,55.6,103,851,30:57,-3,24.6,1320,3.5,105,27.9,27,4.1,57,8.7,24.6,394,410,627,65.4,4758,7.6,11.6,30,18,226,27,193,92,24.6,394,377,1320,3.5,13,75,30:57,24.6,394,410,4758,7.6,30,226
73,9,Colts,22.3,357,1109,5799,5.2,360,98,229,42.8,26,48,54.2,94,801,31:46,-12,2012,2013,22.3,1671,3.8,83,18.9,41,6.1,108,16.1,22.3,357,339,628,54.0,4128,6.6,12.2,23,18,208,41,undefined,75,22.3,357,440,1671,3.8,11,110,31:46,22.3,357,339,4128,6.6,23,208,24.2,387,995,5988,6.0,325,75,197,38.1,27,53,50.9,128,1208,30:33,12,24.2,2200,5.1,65,15.2,32,5.6,69,12.2,24.2,387,334,535,62.4,3788,7.1,11.3,23,12,190,32,189,89,24.2,387,428,2200,5.1,14,102,30:33,24.2,387,334,3788,7.1,23,190
74,10,49ers,24.8,397,969,5789,6.0,322,68,194,35.1,28,55,50.9,109,960,32:46,9,2012,2013,24.8,2491,5.1,70,14.2,41,8.6,70,14.7,24.8,397,289,436,66.3,3298,7.6,11.4,23,8,172,41,undefined,99,24.8,397,492,2491,5.1,18,128,32:46,24.8,397,289,3298,7.6,23,172,17.1,273,1012,4710,4.7,284,71,215,33.0,22,36,61.1,93,758,30:05,-9,17.1,1507,3.7,67,16.5,38,6.3,69,11.4,17.1,273,337,567,59.4,3203,5.6,9.5,19,14,178,38,270,76,17.1,273,407,1507,3.7,7,72,30:05,17.1,273,337,3203,5.6,19,178
75,11,Panthers,22.3,357,988,5771,5.8,328,88,204,43.1,27,46,58.7,98,835,30:51,1,2012,2013,22.3,2088,4.5,84,18.2,36,6.8,65,12.4,22.3,357,284,490,58.0,3683,7.5,13.0,19,12,171,36,undefined,84,22.3,357,462,2088,4.5,22,123,30:51,22.3,357,284,3683,7.5,19,171,22.7,363,1010,5329,5.3,325,73,202,36.1,27,50,54.0,86,711,30:25,-1,22.7,1761,4.2,63,15.1,39,6.6,61,10.3,22.7,363,371,555,66.8,3568,6.4,9.6,22,11,195,39,284,90,22.7,363,416,1761,4.2,11,98,30:25,22.7,363,371,3568,6.4,22,195
76,12,Packers,27.1,433,1042,5751,5.5,341,90,213,42.3,32,47,68.1,103,923,30:26,7,2012,2013,27.1,1702,3.9,72,16.6,51,8.4,84,13.8,27.1,433,374,558,67.0,4049,7.3,10.8,40,8,213,51,undefined,106,27.1,433,433,1702,3.9,9,85,30:26,27.1,433,374,4049,7.3,40,213,21.0,336,1033,5388,5.2,308,83,218,38.1,29,47,61.7,123,1055,30:34,-7,21.0,1896,4.5,73,17.5,47,7.6,86,14.0,21.0,336,313,568,55.1,3492,6.1,11.2,24,18,191,47,309,74,21.0,336,418,1896,4.5,12,83,30:34,21.0,336,313,3492,6.1,24,191
77,13,Giants,26.8,429,968,5687,5.9,327,78,192,40.6,34,62,54.8,72,578,29:10,14,2012,2013,26.8,1862,4.6,51,12.5,20,3.6,55,9.8,26.8,429,323,539,59.9,3825,7.1,11.8,26,15,187,20,undefined,86,26.8,429,409,1862,4.6,18,103,29:10,26.8,429,323,3825,7.1,26,187,21.5,344,1016,6134,6.0,317,84,198,42.4,23,50,46.0,102,900,31:50,-14,21.5,2066,4.6,69,15.4,33,5.8,63,11.1,21.5,344,341,534,63.9,4068,7.6,11.9,26,21,196,33,231,87,21.5,344,449,2066,4.6,10,104,31:50,21.5,344,341,4068,7.6,26,196
78,14,Eagles,17.5,280,1079,5665,5.3,332,83,222,37.4,22,50,44.0,98,813,30:44,-24,2012,2013,17.5,1874,4.5,110,26.6,48,7.2,112,16.8,17.5,280,367,618,59.4,3791,6.1,10.3,18,15,190,48,undefined,77,17.5,280,413,1874,4.5,10,111,30:44,17.5,280,367,3791,6.1,18,190,27.8,444,994,5491,5.5,317,83,203,40.9,30,55,54.5,118,996,31:31,24,27.8,2021,4.2,78,16.3,30,5.8,59,11.5,27.8,444,292,485,60.2,3470,7.2,11.9,33,8,178,30,198,98,27.8,444,479,2021,4.2,11,108,31:31,27.8,444,292,3470,7.2,33,178
79,15,Ravens,24.9,398,1042,5640,5.4,314,80,217,36.9,28,49,57.1,121,1127,29:40,9,2012,2013,24.9,1901,4.3,72,16.2,38,6.4,65,10.9,24.9,398,334,560,59.6,3739,6.7,11.2,22,11,182,38,undefined,85,24.9,398,444,1901,4.3,17,98,29:40,24.9,398,334,3739,6.7,22,182,21.5,344,1086,5615,5.2,326,83,232,35.8,23,53,43.4,107,929,32:25,-9,21.5,1965,4.0,80,16.3,37,6.2,85,14.3,21.5,344,335,557,60.1,3650,6.6,10.9,15,13,187,37,250,79,21.5,344,492,1965,4.0,15,105,32:25,21.5,344,335,3650,6.6,15,187
80,16,Seahawks,25.8,412,974,5610,5.8,311,80,199,40.2,31,54,57.4,110,890,32:50,13,2012,2013,25.8,2579,4.8,67,12.5,33,7.5,65,14.8,25.8,412,259,405,64.0,3031,7.5,11.7,27,10,153,33,undefined,98,25.8,412,536,2579,4.8,16,129,32:50,25.8,412,259,3031,7.5,27,153,15.3,245,968,4899,5.1,295,76,198,38.4,17,38,44.7,102,902,29:38,-13,15.3,1649,4.5,56,15.2,36,6.0,80,13.3,15.3,245,327,564,58.0,3250,5.8,9.9,15,18,186,36,247,70,15.3,245,368,1649,4.5,8,80,29:38,15.3,245,327,3250,5.8,15,186
81,17,Raiders,18.1,290,1032,5504,5.3,300,77,220,35.0,18,42,42.9,108,939,30:30,-7,2012,2013,18.1,1420,3.8,79,21.0,27,4.1,60,9.1,18.1,290,376,629,59.8,4084,6.5,10.9,24,16,200,27,undefined,81,18.1,290,376,1420,3.8,4,72,30:30,18.1,290,376,4084,6.5,24,200,27.7,443,995,5672,5.7,304,83,212,39.2,30,54,55.6,101,925,31:38,7,27.7,1897,4.3,76,17.1,25,4.5,83,15.1,27.7,443,347,526,66.0,3775,7.2,10.9,28,11,180,25,185,96,27.7,443,444,1897,4.3,18,95,31:38,27.7,443,347,3775,7.2,28,180
82,18,Bills,21.5,344,983,5486,5.6,301,77,198,38.9,24,48,50.0,104,871,30:11,-13,2012,2013,21.5,2217,5.0,66,14.9,30,5.5,70,12.9,21.5,344,309,511,60.5,3269,6.4,10.6,24,17,176,30,undefined,81,21.5,344,442,2217,5.0,12,103,30:11,21.5,344,309,3269,6.4,24,176,27.2,435,1042,5806,5.6,349,92,209,44.0,38,55,69.1,80,693,30:03,13,27.2,2333,5.0,72,15.3,36,6.3,66,11.5,27.2,435,306,536,57.1,3473,6.5,11.3,25,12,182,36,196,83,27.2,435,470,2333,5.0,23,136,30:03,27.2,435,306,3473,6.5,25,182
83,19,Vikings,23.7,379,1001,5385,5.4,306,78,210,37.1,28,52,53.8,90,830,29:44,-1,2012,2013,23.7,2634,5.4,83,17.1,32,6.2,64,12.4,23.7,379,300,483,62.1,2751,5.7,9.2,18,12,163,32,undefined,80,23.7,379,486,2634,5.4,16,113,29:44,23.7,379,300,2751,5.7,18,163,21.8,348,1083,5600,5.2,345,95,230,41.3,31,51,60.8,111,949,32:34,1,21.8,1692,4.0,75,17.6,44,6.7,82,12.5,21.8,348,391,612,63.9,3908,6.4,10.0,28,10,229,44,284,90,21.8,348,427,1692,4.0,10,82,32:34,21.8,348,391,3908,6.4,28,229
84,20,Steelers,21.0,336,1023,5324,5.2,307,94,224,42.0,27,49,55.1,92,938,32:11,-10,2012,2013,21.0,1537,3.7,77,18.7,37,6.1,67,11.0,21.0,336,354,574,61.7,3787,6.6,10.7,27,14,202,37,undefined,86,21.0,336,412,1537,3.7,8,80,32:11,21.0,336,354,3787,6.6,27,202,19.6,314,951,4413,4.6,273,73,206,35.4,22,42,52.4,100,882,28:57,10,19.6,1450,3.7,65,16.6,37,6.6,68,12.1,19.6,314,299,523,57.2,2963,5.7,9.9,19,10,169,37,196,77,19.6,314,391,1450,3.7,9,78,28:57,19.6,314,299,2963,5.7,19,169
85,21,Bengals,24.4,391,1016,5323,5.2,292,74,217,34.1,31,57,54.4,99,857,30:26,4,2012,2013,24.4,1745,4.1,56,13.0,46,7.8,67,11.4,24.4,391,335,540,62.0,3578,6.6,10.7,28,16,173,46,undefined,86,24.4,391,430,1745,4.1,11,95,30:26,24.4,391,335,3578,6.6,28,173,20.0,320,1034,5115,4.9,307,79,219,36.1,21,41,51.2,90,779,30:34,-4,20.0,1715,4.1,85,20.1,51,8.3,89,14.6,20.0,320,346,560,61.8,3400,6.1,9.8,16,14,183,51,361,78,20.0,320,423,1715,4.1,13,99,30:34,20.0,320,346,3400,6.1,16,183
86,22,Rams,18.7,299,1002,5264,5.3,287,67,209,32.1,19,37,51.4,130,978,30:47,-1,2012,2013,18.7,1714,4.2,77,18.8,35,5.9,80,13.5,18.7,299,332,557,59.6,3550,6.4,10.7,22,14,189,35,undefined,81,18.7,299,410,1714,4.2,5,79,30:47,18.7,299,332,3550,6.4,22,189,21.8,348,1041,5482,5.3,327,80,213,37.6,27,53,50.9,90,758,32:04,1,21.8,1880,4.3,96,21.7,52,8.7,86,14.4,21.8,348,362,547,66.2,3602,6.6,10.0,16,17,197,52,325,81,21.8,348,442,1880,4.3,18,107,32:04,21.8,348,362,3602,6.6,16,197
87,23,Chiefs,13.2,211,1015,5108,5.0,286,70,212,33.0,10,37,27.0,92,733,30:20,-24,2012,2013,13.2,2395,4.8,84,16.8,40,7.8,84,16.3,13.2,211,273,475,57.5,2713,5.7,9.9,8,20,144,40,undefined,62,13.2,211,500,2395,4.8,9,118,30:20,13.2,211,273,2713,5.7,8,144,26.6,425,973,5704,5.9,301,79,202,39.1,34,64,53.1,81,670,30:16,24,26.6,2171,4.5,71,14.7,27,5.5,50,10.2,26.6,425,279,464,60.1,3533,7.6,12.7,29,7,176,27,161,98,26.6,425,482,2171,4.5,11,106,30:16,26.6,425,279,3533,7.6,29,176
88,24,Browns,18.9,302,998,5028,5.0,279,67,218,30.7,17,39,43.6,113,1005,28:14,3,2012,2013,18.9,1593,4.0,68,17.2,36,6.0,83,13.8,18.9,302,328,566,58.0,3435,6.1,10.5,16,18,185,36,undefined,72,18.9,302,396,1593,4.0,12,71,28:14,18.9,302,328,3435,6.1,16,185,23.0,368,1095,5821,5.3,345,85,223,38.1,30,53,56.6,120,1008,32:19,-3,23.0,1898,4.2,59,12.9,38,6.0,65,10.2,23.0,368,378,600,63.0,3923,6.5,10.4,27,17,203,38,233,85,23.0,368,457,1898,4.2,14,104,32:19,23.0,368,378,3923,6.5,27,203
89,25,Titans,20.6,330,957,5010,5.2,260,83,217,38.2,18,36,50.0,106,847,28:41,-4,2012,2013,20.6,1687,4.5,80,21.2,39,6.7,62,10.7,20.6,330,318,540,58.9,3323,6.2,10.4,17,16,166,39,undefined,75,20.6,330,378,1687,4.5,10,70,28:41,20.6,330,318,3323,6.2,17,166,29.4,471,1086,5999,5.5,358,85,214,39.7,37,58,63.8,86,717,33:09,4,29.4,2035,4.2,81,16.8,39,6.5,84,13.9,29.4,471,374,564,66.3,3964,7.0,10.6,31,19,210,39,241,91,29.4,471,483,2035,4.2,16,122,33:09,29.4,471,374,3964,7.0,31,210
90,26,Dolphins,18.0,288,981,4984,5.1,288,78,207,37.7,21,38,55.3,82,724,29:00,-10,2012,2013,18.0,1802,4.1,73,16.6,37,6.8,64,11.8,18.0,288,293,504,58.1,3182,6.3,10.9,13,13,158,37,undefined,75,18.0,288,440,1802,4.1,15,93,29:00,18.0,288,293,3182,6.3,13,158,19.8,317,1073,5708,5.3,320,87,238,36.6,23,54,42.6,121,1045,32:58,10,19.8,1734,4.0,78,18.1,42,6.5,93,14.5,19.8,317,353,600,58.8,3974,6.6,11.3,18,10,215,42,242,82,19.8,317,431,1734,4.0,10,79,32:58,19.8,317,353,3974,6.6,18,215
91,27,Bears,23.4,375,999,4969,5.0,292,80,219,36.5,23,46,50.0,102,811,32:48,20,2012,2013,23.4,1970,4.2,76,16.2,44,8.3,82,15.5,23.4,375,287,485,59.2,2999,6.2,10.4,21,16,163,44,undefined,78,23.4,375,470,1970,4.2,11,99,32:48,23.4,375,287,2999,6.2,21,163,17.3,277,1021,5050,4.9,286,78,220,35.5,21,41,51.2,78,704,29:40,-20,17.3,1627,4.2,79,20.4,41,6.5,64,10.1,17.3,277,350,592,59.1,3423,5.8,9.8,19,24,186,41,289,69,17.3,277,388,1627,4.2,7,75,29:40,17.3,277,350,3423,5.8,19,186
92,28,Jaguars,15.9,255,994,4788,4.8,269,64,216,29.6,16,36,44.4,101,955,28:03,-3,2012,2013,15.9,1369,3.8,71,19.8,50,7.9,106,16.7,15.9,255,328,586,56.0,3419,5.8,10.4,20,17,157,50,undefined,72,15.9,255,358,1369,3.8,5,76,28:03,15.9,255,328,3419,5.8,20,157,27.8,444,1100,6088,5.5,364,89,215,41.4,35,66,53.0,101,820,33:12,3,27.8,2256,4.1,51,9.4,20,3.6,59,10.6,27.8,444,341,535,63.7,3832,7.2,11.2,21,12,194,20,128,89,27.8,444,545,2256,4.1,19,133,33:12,27.8,444,341,3832,7.2,21,194
93,29,Jets,17.6,281,1034,4787,4.6,299,80,217,36.9,23,47,48.9,83,708,30:26,-14,2012,2013,17.6,1896,3.8,66,13.4,47,8.7,73,13.5,17.6,281,272,493,55.2,2891,5.9,10.6,14,19,162,47,undefined,66,17.6,281,494,1896,3.8,12,102,30:26,17.6,281,272,2891,5.9,14,162,23.4,375,1019,5174,5.1,293,84,226,37.2,24,41,58.5,109,805,31:36,14,23.4,2138,4.3,67,13.5,30,5.7,63,12.0,23.4,375,266,494,53.8,3036,6.1,11.4,20,11,161,30,170,77,23.4,375,495,2138,4.3,17,96,31:36,23.4,375,266,3036,6.1,20,161
94,30,Chargers,21.9,350,988,4756,4.8,293,82,217,37.8,22,47,46.8,103,796,32:37,2,2012,2013,21.9,1461,3.6,80,19.5,49,8.5,61,10.6,21.9,350,338,528,64.0,3295,6.2,9.7,26,15,184,49,undefined,86,21.9,350,411,1461,3.6,4,81,32:37,21.9,350,338,3295,6.2,26,184,21.9,350,1012,5223,5.2,316,90,214,42.1,28,40,70.0,102,798,29:15,-2,21.9,1542,3.8,74,18.2,38,6.3,70,11.6,21.9,350,347,568,61.1,3681,6.5,10.6,28,14,201,38,244,86,21.9,350,406,1542,3.8,10,85,29:15,21.9,350,347,3681,6.5,28,201
95,31,Cardinals,15.6,250,1018,4209,4.1,246,58,230,25.2,16,40,40.0,102,857,29:19,-1,2012,2013,15.6,1204,3.4,94,26.7,58,8.7,97,14.6,15.6,250,337,608,55.4,3005,4.9,8.9,11,21,168,58,undefined,61,15.6,250,352,1204,3.4,10,58,29:19,15.6,250,337,3005,4.9,11,168,22.3,357,1041,5405,5.2,288,73,222,32.9,20,45,44.4,100,810,31:19,1,22.3,2192,4.3,69,13.6,38,7.1,83,15.5,22.3,357,270,497,54.3,3213,6.5,11.9,20,22,160,38,228,69,22.3,357,506,2192,4.3,12,107,31:19,22.3,357,270,3213,6.5,20,160
96,0,Broncos,37.9,606,1156,7319,6.3,435,95,205,46.3,51,67,76.1,117,1000,31:31,0,2013,2014,37.9,1875,4.1,49,10.6,20,2.9,48,6.9,37.9,606,461,675,68.3,5444,8.1,11.8,55,10,293,20,undefined,114,37.9,606,461,1875,4.1,16,107,31:31,37.9,606,461,5444,8.1,55,293,24.9,399,1074,5696,5.3,339,83,218,38.1,37,60,61.7,97,807,30:18,0,24.9,1626,3.9,94,22.4,41,6.3,85,13.0,24.9,399,357,613,58.2,4070,6.6,11.4,29,17,208,41,290,82,24.9,399,420,1626,3.9,15,90,30:18,24.9,399,357,4070,6.6,29,208
97,1,Eagles,27.6,442,1054,6676,6.3,355,83,213,39.0,30,57,52.6,95,846,26:24,12,2013,2014,27.6,2566,5.1,91,18.2,46,8.3,81,14.6,27.6,442,310,508,61.0,4110,8.1,13.3,32,9,197,46,undefined,100,27.6,442,500,2566,5.1,19,133,26:24,27.6,442,310,4110,8.1,32,197,23.9,382,1150,6304,5.5,368,93,231,40.3,26,49,53.1,106,855,34:36,-12,23.9,1668,3.8,73,16.5,37,5.2,52,7.4,23.9,382,408,670,60.9,4636,6.9,11.4,25,19,239,37,271,82,23.9,382,443,1668,3.8,12,100,34:36,23.9,382,408,4636,6.9,25,239
98,2,Packers,26.1,417,1074,6404,6.0,351,89,216,41.2,33,65,50.8,86,801,31:53,-3,2013,2014,26.1,2136,4.7,74,16.1,45,7.3,73,11.9,26.1,417,366,570,64.2,4268,7.5,11.7,25,16,201,45,undefined,90,26.1,417,459,2136,4.7,17,119,31:53,26.1,417,366,4268,7.5,25,201,26.8,428,1015,5956,5.9,330,78,204,38.2,35,57,61.4,99,883,30:03,3,26.8,2000,4.6,80,18.5,44,7.5,61,10.5,26.8,428,332,539,61.6,3956,7.3,11.9,30,11,190,44,238,94,26.8,428,432,2000,4.6,16,116,30:03,26.8,428,332,3956,7.3,30,190
99,3,Saints,25.9,414,1079,6391,5.9,359,97,221,43.9,32,57,56.1,95,817,33:41,0,2013,2014,25.9,1473,3.8,82,21.0,37,5.4,76,11.0,25.9,414,446,651,68.5,4918,7.6,11.0,39,12,244,37,undefined,103,25.9,414,391,1473,3.8,10,87,33:41,25.9,414,446,4918,7.6,39,244,19.0,304,943,4891,5.2,274,69,199,34.7,26,46,56.5,91,750,27:19,0,19.0,1786,4.6,78,20.2,49,8.8,95,17.1,19.0,304,304,507,60.0,3105,6.1,10.2,20,12,168,49,336,81,19.0,304,387,1786,4.6,11,82,27:19,19.0,304,304,3105,6.1,20,168
100,4,Chargers,24.8,396,1060,6293,5.9,373,101,206,49.0,30,59,50.8,95,765,34:35,-4,2013,2014,24.8,1965,4.0,52,10.7,30,5.2,56,9.8,24.8,396,378,544,69.5,4328,8.0,11.4,32,11,230,30,undefined,104,24.8,396,486,1965,4.0,9,104,34:35,24.8,396,378,4328,8.0,32,230,21.8,348,959,5864,6.1,327,70,180,38.9,28,45,62.2,100,850,28:31,4,21.8,1725,4.6,64,17.0,35,6.0,55,9.4,21.8,348,364,548,66.4,4139,7.6,11.4,23,11,208,35,248,95,21.8,348,376,1725,4.6,14,98,28:31,21.8,348,364,4139,7.6,23,208
101,5,Lions,24.7,395,1102,6274,5.7,350,95,221,43.0,35,56,62.5,110,925,32:22,-12,2013,2014,24.7,1797,4.0,61,13.7,24,3.6,65,9.9,24.7,395,371,634,58.5,4477,7.1,12.1,29,19,221,24,undefined,83,24.7,395,444,1797,4.0,15,106,32:22,24.7,395,371,4477,7.1,29,221,23.5,376,982,5546,5.6,290,64,211,30.3,16,42,38.1,87,681,28:06,12,23.5,1596,4.2,77,20.4,33,5.5,82,13.6,23.5,376,338,572,59.1,3950,6.9,11.7,24,15,197,33,249,83,23.5,376,377,1596,4.2,10,62,28:06,23.5,376,338,3950,6.9,24,197
102,6,Patriots,27.8,444,1138,6152,5.4,378,83,221,37.6,36,65,55.4,69,625,30:21,9,2013,2014,27.8,2065,4.4,61,13.0,39,5.8,79,11.8,27.8,444,380,628,60.5,4087,6.5,10.8,25,11,225,39,undefined,86,27.8,444,471,2065,4.4,19,110,30:21,27.8,444,380,4087,6.5,25,225,21.1,338,1118,5969,5.3,338,98,232,42.2,28,50,56.0,110,951,31:05,-9,21.1,2145,4.5,69,14.3,48,7.5,93,14.6,21.1,338,336,589,57.0,3824,6.5,11.4,25,17,208,48,313,79,21.1,338,481,2145,4.5,11,110,31:05,21.1,338,336,3824,6.5,25,208
103,7,Bears,27.8,445,1013,6109,6.0,344,83,197,42.1,35,60,58.3,85,708,31:02,5,2013,2014,27.8,1830,4.5,68,16.9,30,4.9,78,12.8,27.8,445,374,580,64.5,4279,7.4,11.4,32,13,215,30,undefined,96,27.8,445,403,1830,4.5,13,102,31:02,27.8,445,374,4279,7.4,32,215,29.9,478,1021,6313,6.2,353,83,200,41.5,34,59,57.6,69,647,30:12,-5,29.9,2583,5.3,64,13.3,31,5.8,45,8.4,29.9,478,315,507,62.1,3730,7.4,11.8,25,19,184,31,189,85,29.9,478,483,2583,5.3,22,147,30:12,29.9,478,315,3730,7.4,25,184
104,8,Redskins,20.9,334,1107,5915,5.3,329,95,235,40.4,26,50,52.0,99,802,31:53,-8,2013,2014,20.9,2164,4.8,76,16.8,43,6.6,88,13.5,20.9,334,355,611,58.1,3751,6.1,10.6,20,19,198,43,undefined,74,20.9,334,453,2164,4.8,14,112,31:53,20.9,334,355,3751,6.1,20,198,29.9,478,993,5665,5.7,329,66,194,34.0,38,60,63.3,83,697,29:29,8,29.9,1769,4.0,77,17.4,36,6.5,69,12.5,29.9,478,337,514,65.6,3896,7.6,11.6,29,16,204,36,238,94,29.9,478,443,1769,4.0,23,102,29:29,29.9,478,337,3896,7.6,29,204
105,9,Bengals,26.9,430,1097,5894,5.4,330,92,225,40.9,34,46,73.9,102,1000,33:50,1,2013,2014,26.9,1755,3.6,59,12.3,29,4.7,49,8.0,26.9,430,364,587,62.0,4139,7.1,11.4,33,20,205,29,undefined,88,26.9,430,481,1755,3.6,14,101,33:50,26.9,430,364,4139,7.1,33,205,19.1,305,1042,4888,4.7,282,74,225,32.9,18,36,50.0,69,692,29:48,-1,19.1,1544,4.0,66,17.1,43,6.5,101,15.4,19.1,305,362,614,59.0,3344,5.4,9.2,22,20,178,43,279,72,19.1,305,385,1544,4.0,6,72,29:48,19.1,305,362,3344,5.4,22,178
106,10,Texans,17.2,276,1089,5556,5.1,307,83,231,35.9,20,41,48.8,112,1138,32:31,-20,2013,2014,17.2,1743,4.2,81,19.6,42,6.2,106,15.7,17.2,276,371,633,58.6,3813,6.0,10.3,19,22,198,42,undefined,72,17.2,276,414,1743,4.2,7,90,32:31,17.2,276,371,3813,6.0,19,198,26.8,428,970,5081,5.2,282,75,217,34.6,32,48,66.7,102,809,30:30,20,26.8,1958,4.3,71,15.6,32,6.2,103,20.0,26.8,428,287,484,59.3,3123,6.5,10.9,29,7,158,32,187,92,26.8,428,454,1958,4.3,11,88,30:30,26.8,428,287,3123,6.5,29,158
107,11,Cardinals,23.7,379,1037,5542,5.3,329,74,210,35.2,26,50,52.0,96,744,31:00,-1,2013,2014,23.7,1540,3.6,74,17.5,41,6.7,97,15.8,23.7,379,363,574,63.2,4002,7.0,11.0,24,22,205,41,undefined,82,23.7,379,422,1540,3.6,12,84,31:00,23.7,379,363,4002,7.0,24,205,20.2,324,1042,5079,4.9,309,78,221,35.3,26,48,54.2,111,960,29:18,1,20.2,1351,3.7,92,24.9,47,7.0,110,16.4,20.2,324,367,625,58.7,3728,6.0,10.2,29,20,208,47,337,78,20.2,324,370,1351,3.7,5,68,29:18,20.2,324,367,3728,6.0,29,208
