,index,TeamName,PointsPerGame_x,Score_x,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession_x,TurnoverDifferential,curYear,nextYear,PointsPerGame_y,RushingYards_x,RushingYardsPerAttempt_x,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked_x,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PointsPerGame_x,Score_y,PassingCompletions_x,PassingAttempts,CompletionPercentage,PassingYards_x,PassingYardsPerAttempt_x,PassingYardsPerCompletion,PassingTouchdowns_x,PassingInterceptions,FirstDownsByPassing_x,TimesSacked_y,TimesSackedYards,PasserRating,PointsPerGame_y,Score_x,RushingAttempts,RushingYards_y,RushingYardsPerAttempt_y,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession_y,PointsPerGame,Score_y,PassingCompletions_y,PassingYards_y,PassingYardsPerAttempt_y,PassingTouchdowns_y,FirstDownsByPassing_y,OpponentPointsPerGame_x,OpponentScore_x,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession_x,OpponentTurnoverDifferential,OpponentPointsPerGame_y,OpponentRushingYards_x,OpponentRushingYardsPerAttempt_x,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked_x,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentPointsPerGame_x,OpponentScore_y,OpponentPassingCompletions_x,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards_x,OpponentPassingYardsPerAttempt_x,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns_x,OpponentPassingInterceptions,OpponentFirstDownsByPassing_x,OpponentTimesSacked_y,OpponentTimesSackedYards,OpponentPasserRating,OpponentPointsPerGame_y,OpponentScore_x,OpponentRushingAttempts,OpponentRushingYards_y,OpponentRushingYardsPerAttempt_y,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession_y,OpponentPointsPerGame,OpponentScore_y,OpponentPassingCompletions_y,OpponentPassingYards_y,OpponentPassingYardsPerAttempt_y,OpponentPassingTouchdowns_y,OpponentFirstDownsByPassing_y
20,20,Dolphins,17.1,273,1040,5170,5.0,300,92,230,40.0,18,34,52.9,72,595,31:54,-11,2010,2011,17.1,1643,3.7,71,16.0,38,6.4,69,11.6,17.1,273,335,557,60.1,3527,6.3,10.5,17,20,189,38,undefined,74,17.1,273,445,1643,3.7,8,91,31:54,17.1,273,335,3527,6.3,17,189,20.8,333,988,4949,5.0,264,84,226,37.2,18,45,40.0,85,730,29:29,11,20.8,1601,3.6,87,19.5,39,7.2,64,11.8,20.8,333,288,502,57.4,3348,6.7,11.6,22,11,166,39,225,83,20.8,333,447,1601,3.6,8,84,29:29,20.8,333,288,3348,6.7,22,166
21,21,Ravens,22.3,357,1018,5166,5.1,303,82,210,39.0,25,51,49.0,90,673,31:20,7,2010,2011,22.3,1831,3.8,81,16.6,40,7.5,76,14.3,22.3,357,308,491,62.7,3335,6.8,10.8,25,10,175,40,undefined,91,22.3,357,487,1831,3.8,11,97,31:20,22.3,357,308,3335,6.8,25,175,16.9,270,1007,5102,5.1,284,87,229,38.0,17,40,42.5,117,984,30:56,-7,16.9,1503,3.9,60,15.6,27,4.3,62,10.0,16.9,270,349,596,58.6,3599,6.0,10.3,22,19,187,27,190,75,16.9,270,384,1503,3.9,5,79,30:56,16.9,270,349,3599,6.0,22,187
22,22,Vikings,17.6,281,982,5039,5.1,289,71,205,34.6,20,46,43.5,100,769,30:25,-11,2010,2011,17.6,1942,4.4,81,18.3,35,6.5,87,16.1,17.6,281,305,505,60.4,3097,6.1,10.2,14,26,159,35,undefined,66,17.6,281,442,1942,4.4,16,104,30:25,17.6,281,305,3097,6.1,14,159,21.8,348,977,5002,5.1,276,87,213,40.8,26,46,56.5,98,786,30:55,11,21.8,1635,3.9,78,18.7,30,5.4,70,12.5,21.8,348,333,529,62.9,3367,6.4,10.1,25,15,178,30,177,85,21.8,348,418,1635,3.9,10,87,30:55,21.8,348,333,3367,6.4,25,178
23,23,49ers,19.1,305,945,5013,5.3,251,68,213,31.9,20,42,47.6,112,934,29:47,-1,2010,2011,19.1,1657,4.1,77,19.2,44,8.1,91,16.7,19.1,305,282,500,56.4,3356,6.7,11.9,19,15,149,44,undefined,77,19.1,305,401,1657,4.1,10,85,29:47,19.1,305,282,3356,6.7,19,149,21.6,346,1033,5243,5.1,299,84,217,38.7,26,55,47.3,97,839,32:33,1,21.6,1547,3.5,72,16.1,36,6.1,72,12.3,21.6,346,358,550,65.1,3696,6.7,10.3,25,15,188,36,244,88,21.6,346,447,1547,3.5,9,86,32:33,21.6,346,358,3696,6.7,25,188
24,24,Bills,17.7,283,954,4880,5.1,263,80,211,37.9,19,37,51.4,82,633,29:36,-17,2010,2011,17.7,1722,4.3,71,17.7,33,6.0,90,16.3,17.7,283,296,519,57.0,3158,6.1,10.7,24,21,166,33,undefined,74,17.7,283,402,1722,4.3,6,82,29:36,17.7,283,296,3158,6.1,24,166,26.6,425,1071,5786,5.4,335,98,227,43.2,33,54,61.1,85,634,33:24,17,26.6,2714,4.8,62,10.9,27,5.4,55,11.0,26.6,425,294,473,62.2,3072,6.5,10.4,28,11,179,27,181,91,26.6,425,571,2714,4.8,18,138,33:24,26.6,425,294,3072,6.5,28,179
25,25,Rams,18.1,289,1053,4846,4.6,292,78,235,33.2,20,56,35.7,102,877,31:01,5,2010,2011,18.1,1578,3.7,82,19.1,34,5.4,73,11.7,18.1,289,354,590,60.0,3268,5.5,9.2,18,15,179,34,undefined,75,18.1,289,429,1578,3.7,9,84,31:01,18.1,289,354,3268,5.5,18,179,20.5,328,1017,5388,5.3,304,74,221,33.5,22,45,48.9,126,1008,29:19,-5,20.5,1810,4.5,88,21.8,43,7.0,85,13.9,20.5,328,328,570,57.5,3578,6.3,10.9,21,14,191,43,290,78,20.5,328,404,1810,4.5,7,88,29:19,20.5,328,328,3578,6.3,21,191
26,26,Titans,22.2,356,907,4834,5.3,252,71,204,34.8,25,43,58.1,128,1040,26:02,-4,2010,2011,22.2,1727,4.3,72,17.7,27,5.4,42,8.4,22.2,356,273,474,57.6,3107,6.6,11.4,24,15,155,27,undefined,81,22.2,356,406,1727,4.3,13,73,26:02,22.2,356,273,3107,6.6,24,155,21.2,339,1139,5883,5.2,356,104,242,43.0,26,63,41.3,114,1039,34:24,4,21.2,1851,3.9,90,19.0,40,6.0,97,14.6,21.2,339,410,625,65.6,4032,6.5,9.8,23,17,214,40,272,85,21.2,339,474,1851,3.9,7,107,34:24,21.2,339,410,4032,6.5,23,214
27,27,Seahawks,19.4,310,964,4763,4.9,260,76,214,35.5,21,50,42.0,101,890,28:33,-9,2010,2011,19.4,1424,3.7,82,21.3,35,6.0,60,10.4,19.4,310,324,544,59.6,3339,6.1,10.3,14,20,159,35,undefined,71,19.4,310,385,1424,3.7,13,81,28:33,19.4,310,324,3339,6.1,14,159,25.4,407,1074,5897,5.5,313,94,238,39.5,30,65,46.2,91,709,32:27,9,25.4,1903,4.2,68,15.0,37,5.9,76,12.2,25.4,407,339,585,57.9,3994,6.8,11.8,31,12,206,37,246,88,25.4,407,452,1903,4.2,13,91,32:27,25.4,407,339,3994,6.8,31,206
28,28,Browns,16.9,271,927,4635,5.0,265,75,202,37.1,19,42,45.2,78,675,28:21,-1,2010,2011,16.9,1646,4.0,59,14.3,36,7.0,58,11.3,16.9,271,296,478,61.9,2989,6.3,10.1,13,18,154,36,undefined,73,16.9,271,413,1646,4.0,13,87,28:21,16.9,271,296,2989,6.3,13,154,20.8,332,1041,5601,5.4,317,96,224,42.9,23,48,47.9,85,741,33:34,1,20.8,2070,4.1,48,9.5,29,5.4,76,14.2,20.8,332,309,507,60.9,3531,7.0,11.4,26,19,195,29,178,83,20.8,332,505,2070,4.1,7,102,33:34,20.8,332,309,3531,7.0,26,195
29,29,Bears,20.9,334,936,4631,4.9,263,64,195,32.8,23,51,45.1,91,768,30:31,4,2010,2011,20.9,1616,3.9,97,23.4,55,10.6,88,16.9,20.9,334,276,466,59.2,3015,6.5,10.9,23,21,163,55,undefined,76,20.9,334,415,1616,3.9,10,76,30:31,20.9,334,276,3015,6.5,23,163,17.9,286,1002,5029,5.0,282,75,216,34.7,20,42,47.6,93,790,30:29,-4,17.9,1441,3.7,79,20.4,33,5.4,68,11.1,17.9,286,363,582,62.4,3588,6.2,9.9,14,21,183,33,232,73,17.9,286,387,1441,3.7,14,88,30:29,17.9,286,363,3588,6.2,14,183
